iter	Passed	Remaining
0	0	60
1	1	52
2	1	57
3	2	60
4	3	60
5	3	61
6	4	61
7	5	60
8	5	59
9	6	58
10	7	57
11	7	57
12	8	56
13	9	55
14	9	54
15	10	53
16	10	52
17	11	52
18	11	50
19	12	50
20	13	49
21	13	48
22	14	47
23	14	47
24	15	47
25	16	46
26	16	45
27	17	45
28	18	44
29	18	43
30	19	42
31	19	42
32	20	41
33	20	40
34	21	39
35	21	38
36	22	38
37	23	37
38	23	36
39	23	35
40	24	35
41	25	34
42	25	33
43	26	33
44	26	32
45	27	32
46	27	31
47	28	30
48	29	30
49	29	29
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	33	26
56	33	25
57	34	24
58	34	24
59	35	23
60	35	22
61	36	22
62	36	21
63	37	20
64	37	20
65	38	19
66	38	19
67	39	18
68	39	17
69	40	17
70	40	16
71	41	15
72	41	15
73	41	14
74	42	14
75	42	13
76	43	12
77	43	12
78	44	11
79	44	11
80	45	10
81	45	9
82	45	9
83	46	8
84	46	8
85	47	7
86	47	7
87	47	6
88	48	5
89	48	5
90	48	4
91	49	4
92	49	3
93	50	3
94	50	2
95	50	2
96	51	1
97	51	1
98	51	0
99	52	0
