iter	Passed	Remaining
0	173	173190
1	175	87682
2	178	59355
3	180	44931
4	183	36585
5	186	30933
6	188	26707
7	190	23638
8	192	21220
9	194	19250
10	197	17756
11	199	16444
12	201	15280
13	204	14386
14	205	13504
15	206	12725
16	208	12073
17	210	11489
18	212	10958
19	213	10456
20	214	10006
21	215	9599
22	217	9227
23	218	8897
24	220	8581
25	221	8295
26	223	8055
27	225	7844
28	227	7613
29	228	7394
30	230	7206
31	231	7014
32	234	6875
33	235	6702
34	238	6573
35	240	6434
36	241	6291
37	243	6164
38	244	6035
39	246	5911
40	247	5797
41	248	5676
42	252	5610
43	254	5519
44	255	5423
45	256	5320
46	257	5218
47	258	5118
48	259	5027
49	259	4936
50	260	4845
51	261	4758
52	261	4676
53	262	4595
54	263	4535
55	265	4468
56	266	4404
57	267	4339
58	267	4274
59	268	4214
60	269	4154
61	270	4094
62	271	4045
63	272	3992
64	274	3941
65	275	3899
66	277	3858
67	279	3830
68	282	3805
69	283	3765
70	284	3726
71	286	3687
72	287	3656
73	288	3612
74	289	3574
75	292	3561
76	295	3541
77	297	3512
78	298	3484
79	300	3456
80	302	3426
81	303	3397
82	304	3362
83	307	3348
84	310	3344
85	312	3319
86	313	3294
87	315	3269
88	317	3245
89	319	3232
90	322	3221
91	324	3200
92	326	3182
93	327	3160
94	329	3138
95	330	3116
96	332	3099
97	336	3094
98	338	3080
99	340	3060
100	341	3040
101	343	3022
102	345	3007
103	346	2987
104	349	2975
105	350	2958
106	352	2938
107	353	2916
108	353	2892
109	355	2874
110	356	2852
111	357	2830
112	357	2809
113	358	2788
114	359	2765
115	360	2744
116	361	2725
117	364	2721
118	365	2707
119	366	2688
120	367	2668
121	367	2646
122	368	2626
123	369	2608
124	370	2591
125	371	2574
126	371	2556
127	372	2540
128	373	2524
129	374	2509
130	376	2495
131	377	2482
132	378	2466
133	379	2450
134	380	2435
135	380	2419
136	381	2404
137	382	2387
138	382	2370
139	383	2354
140	383	2338
141	384	2321
142	384	2306
143	385	2292
144	386	2277
145	386	2261
146	387	2247
147	387	2233
148	388	2220
149	390	2213
150	392	2207
151	394	2198
152	395	2190
153	397	2181
154	398	2172
155	399	2163
156	401	2153
157	402	2145
158	403	2136
159	405	2131
160	407	2124
161	409	2116
162	410	2105
163	412	2105
164	413	2093
165	414	2082
166	415	2071
167	416	2060
168	416	2048
169	417	2037
170	417	2025
171	418	2013
172	418	2002
173	420	1994
174	421	1988
175	422	1979
176	423	1970
177	424	1961
178	425	1953
179	426	1944
180	427	1934
181	428	1924
182	428	1914
183	429	1904
184	430	1895
185	431	1886
186	431	1876
187	432	1867
188	432	1857
189	433	1847
190	434	1839
191	435	1832
192	436	1827
193	438	1821
194	439	1814
195	440	1806
196	441	1798
197	441	1789
198	442	1780
199	443	1772
200	443	1764
201	444	1755
202	445	1747
203	445	1739
204	446	1731
205	446	1722
206	447	1714
207	448	1705
208	449	1701
209	452	1701
210	453	1694
211	454	1688
212	455	1682
213	456	1675
214	457	1668
215	457	1661
216	458	1654
217	459	1646
218	459	1639
219	460	1632
220	461	1625
221	461	1618
222	462	1611
223	464	1609
224	466	1606
225	467	1600
226	468	1595
227	469	1590
228	471	1585
229	471	1579
230	472	1572
231	473	1566
232	473	1560
233	474	1553
234	475	1547
235	475	1540
236	476	1533
237	476	1526
238	478	1522
239	479	1519
240	482	1518
241	483	1513
242	484	1509
243	486	1506
244	486	1500
245	487	1495
246	488	1489
247	489	1483
248	490	1478
249	490	1472
250	495	1477
251	496	1474
252	497	1469
253	498	1464
254	499	1460
255	500	1454
256	501	1449
257	501	1443
258	502	1438
259	503	1432
260	504	1427
261	504	1421
262	505	1415
263	505	1409
264	506	1403
265	507	1399
266	509	1398
267	510	1394
268	511	1390
269	512	1385
270	513	1380
271	513	1375
272	514	1370
273	515	1364
274	515	1359
275	516	1354
276	516	1349
277	517	1343
278	518	1339
279	518	1334
280	519	1329
281	520	1324
282	520	1319
283	522	1317
284	525	1317
285	526	1314
286	527	1310
287	528	1307
288	529	1303
289	530	1299
290	531	1295
291	532	1291
292	533	1288
293	534	1284
294	535	1280
295	537	1277
296	538	1274
297	539	1270
298	540	1266
299	541	1262
300	542	1258
301	543	1255
302	544	1251
303	545	1247
304	545	1243
305	546	1239
306	547	1235
307	548	1231
308	548	1227
309	549	1222
310	550	1218
311	551	1216
312	553	1215
313	555	1213
314	556	1209
315	557	1206
316	558	1202
317	559	1198
318	559	1194
319	560	1191
320	561	1187
321	561	1183
322	562	1178
323	563	1174
324	563	1170
325	564	1166
326	564	1161
327	565	1157
328	566	1155
329	567	1153
330	569	1150
331	570	1147
332	570	1143
333	571	1140
334	572	1136
335	573	1133
336	574	1129
337	575	1126
338	575	1122
339	576	1118
340	576	1114
341	577	1110
342	577	1107
343	578	1103
344	579	1099
345	579	1095
346	580	1093
347	582	1091
348	583	1088
349	584	1085
350	585	1082
351	586	1079
352	587	1076
353	588	1073
354	588	1069
355	589	1066
356	590	1063
357	590	1059
358	591	1055
359	591	1052
360	592	1048
361	593	1046
362	595	1044
363	597	1043
364	598	1041
365	599	1038
366	600	1035
367	601	1032
368	601	1029
369	602	1026
370	603	1023
371	604	1019
372	604	1016
373	605	1013
374	605	1009
375	606	1006
376	606	1003
377	607	999
378	608	996
379	608	992
380	610	991
381	611	989
382	612	987
383	613	984
384	614	981
385	615	979
386	616	976
387	616	973
388	617	970
389	618	967
390	619	964
391	619	961
392	620	958
393	620	955
394	621	952
395	622	949
396	623	947
397	626	947
398	627	945
399	628	942
400	629	939
401	630	937
402	631	934
403	631	931
404	632	929
405	633	926
406	633	923
407	634	920
408	636	919
409	636	916
410	637	913
411	639	913
412	641	911
413	642	909
414	643	906
415	644	904
416	644	901
417	645	899
418	646	896
419	647	893
420	648	891
421	648	888
422	649	886
423	650	883
424	650	880
425	651	877
426	651	874
427	652	872
428	653	870
429	655	869
430	656	867
431	657	864
432	658	862
433	659	859
434	660	857
435	660	854
436	661	852
437	662	849
438	663	847
439	663	844
440	664	841
441	664	839
442	665	836
443	665	833
444	666	831
445	668	829
446	669	828
447	671	826
448	672	824
449	673	822
450	673	820
451	674	817
452	675	815
453	676	813
454	677	811
455	677	808
456	678	806
457	679	803
458	679	801
459	680	798
460	680	796
461	682	794
462	684	794
463	685	792
464	686	789
465	687	787
466	688	785
467	689	783
468	690	781
469	690	778
470	691	776
471	692	774
472	692	772
473	693	769
474	694	767
475	696	766
476	697	764
477	699	763
478	700	761
479	701	759
480	702	757
481	703	756
482	704	754
483	705	752
484	706	749
485	707	747
486	707	745
487	708	743
488	709	741
489	709	738
490	710	736
491	711	735
492	713	733
493	714	732
494	715	730
495	716	728
496	717	726
497	718	724
498	719	722
499	719	719
500	720	717
501	721	715
502	722	713
503	722	711
504	723	709
505	724	706
506	724	704
507	725	702
508	727	701
509	728	700
510	729	698
511	730	696
512	731	694
513	732	692
514	732	690
515	733	688
516	734	685
517	735	683
518	735	682
519	736	680
520	737	678
521	738	675
522	738	673
523	739	671
524	741	670
525	743	669
526	744	667
527	745	666
528	745	664
529	746	661
530	747	659
531	747	657
532	748	655
533	749	653
534	750	652
535	751	650
536	752	649
537	754	648
538	757	647
539	759	646
540	760	644
541	760	642
542	761	640
543	762	638
544	763	637
545	763	634
546	764	633
547	765	631
548	765	629
549	766	627
550	767	625
551	767	623
552	769	621
553	771	621
554	773	619
555	773	618
556	774	616
557	775	614
558	776	612
559	776	610
560	777	608
561	778	606
562	778	604
563	779	602
564	780	600
565	780	598
566	781	596
567	781	594
568	782	592
569	783	590
570	784	589
571	785	587
572	786	586
573	787	584
574	788	582
575	788	580
576	789	578
577	790	577
578	791	575
579	791	573
580	792	571
581	792	569
582	793	567
583	793	565
584	794	563
585	794	561
586	795	559
587	795	557
588	796	555
589	796	553
590	798	552
591	799	550
592	800	549
593	801	547
594	801	545
595	802	544
596	803	542
597	804	540
598	805	538
599	805	537
600	806	535
601	806	533
602	807	531
603	808	529
604	808	527
605	809	526
606	809	524
607	810	522
608	810	520
609	811	518
610	811	516
611	812	515
612	813	513
613	814	512
614	815	510
615	816	509
616	817	507
617	818	505
618	819	504
619	819	502
620	820	500
621	821	499
622	822	497
623	822	495
624	823	494
625	823	492
626	824	490
627	825	488
628	825	486
629	826	485
630	827	483
631	830	483
632	831	481
633	832	480
634	833	478
635	833	477
636	834	475
637	835	473
638	836	472
639	836	470
640	837	468
641	837	467
642	838	465
643	838	463
644	839	461
645	839	460
646	840	458
647	840	456
648	841	455
649	842	453
650	843	452
651	845	451
652	846	449
653	846	448
654	847	446
655	848	444
656	849	443
657	849	441
658	850	440
659	851	438
660	851	436
661	852	435
662	852	433
663	853	431
664	853	430
665	854	428
666	854	426
667	855	425
668	855	423
669	856	422
670	858	420
671	861	420
672	861	418
673	862	417
674	863	415
675	863	414
676	864	412
677	865	410
678	865	409
679	866	407
680	867	406
681	867	404
682	868	402
683	868	401
684	869	399
685	869	398
686	870	396
687	870	394
688	871	393
689	873	392
690	874	391
691	876	389
692	877	388
693	878	387
694	878	385
695	879	384
696	880	382
697	881	381
698	881	379
699	882	378
700	883	376
701	884	375
702	884	373
703	885	372
704	886	370
705	887	369
706	888	368
707	889	366
708	890	365
709	891	363
710	891	362
711	892	360
712	893	359
713	894	358
714	894	356
715	895	355
716	896	353
717	896	352
718	897	350
719	897	349
720	898	347
721	898	346
722	899	344
723	899	343
724	901	341
725	902	340
726	903	339
727	904	337
728	905	336
729	905	334
730	906	333
731	907	332
732	907	330
733	908	329
734	908	327
735	909	326
736	910	324
737	910	323
738	911	321
739	911	320
740	911	318
741	912	317
742	912	315
743	913	314
744	915	313
745	917	312
746	918	311
747	919	309
748	920	308
749	920	306
750	921	305
751	922	304
752	923	302
753	923	301
754	924	300
755	925	298
756	926	297
757	927	295
758	929	295
759	931	294
760	932	293
761	934	291
762	935	290
763	936	289
764	937	288
765	938	286
766	939	285
767	940	284
768	941	282
769	942	281
770	944	280
771	946	279
772	947	278
773	948	277
774	949	275
775	950	274
776	951	273
777	952	271
778	953	270
779	954	269
780	955	267
781	955	266
782	956	265
783	957	263
784	960	262
785	961	261
786	963	260
787	964	259
788	965	258
789	967	257
790	968	255
791	969	254
792	971	253
793	971	252
794	973	251
795	975	250
796	977	248
797	978	247
798	980	246
799	981	245
800	982	244
801	983	242
802	984	241
803	985	240
804	986	238
805	990	238
806	992	237
807	993	236
808	995	234
809	996	233
810	997	232
811	998	231
812	999	229
813	1000	228
814	1001	227
815	1004	226
816	1007	225
817	1009	224
818	1010	223
819	1011	222
820	1012	220
821	1013	219
822	1014	218
823	1015	216
824	1017	215
825	1019	214
826	1020	213
827	1022	212
828	1023	211
829	1024	209
830	1026	208
831	1027	207
832	1029	206
833	1030	205
834	1031	203
835	1034	203
836	1037	201
837	1038	200
838	1039	199
839	1040	198
840	1042	197
841	1043	195
842	1045	194
843	1048	193
844	1051	192
845	1052	191
846	1053	190
847	1054	189
848	1056	187
849	1057	186
850	1058	185
851	1059	183
852	1060	182
853	1061	181
854	1063	180
855	1065	179
856	1067	178
857	1068	176
858	1069	175
859	1071	174
860	1072	173
861	1073	171
862	1074	170
863	1076	169
864	1077	168
865	1079	167
866	1080	165
867	1082	164
868	1083	163
869	1084	162
870	1085	160
871	1086	159
872	1087	158
873	1088	156
874	1089	155
875	1090	154
876	1091	153
877	1092	151
878	1094	150
879	1095	149
880	1097	148
881	1098	146
882	1099	145
883	1100	144
884	1101	143
885	1101	141
886	1102	140
887	1103	139
888	1103	137
889	1105	136
890	1106	135
891	1107	134
892	1108	132
893	1110	131
894	1111	130
895	1112	129
896	1113	127
897	1114	126
898	1115	125
899	1116	124
900	1117	122
901	1118	121
902	1119	120
903	1120	118
904	1120	117
905	1122	116
906	1123	115
907	1125	114
908	1126	112
909	1127	111
910	1128	110
911	1129	108
912	1130	107
913	1131	106
914	1132	105
915	1133	103
916	1134	102
917	1134	101
918	1135	100
919	1136	98
920	1138	97
921	1139	96
922	1140	95
923	1141	93
924	1142	92
925	1143	91
926	1144	90
927	1145	88
928	1146	87
929	1147	86
930	1148	85
931	1149	83
932	1150	82
933	1151	81
934	1152	80
935	1153	78
936	1154	77
937	1156	76
938	1158	75
939	1159	74
940	1160	72
941	1161	71
942	1162	70
943	1163	69
944	1164	67
945	1164	66
946	1166	65
947	1168	64
948	1171	62
949	1172	61
950	1173	60
951	1174	59
952	1175	57
953	1176	56
954	1176	55
955	1177	54
956	1178	52
957	1178	51
958	1179	50
959	1180	49
960	1181	47
961	1183	46
962	1183	45
963	1184	44
964	1185	42
965	1186	41
966	1186	40
967	1187	39
968	1188	38
969	1188	36
970	1189	35
971	1190	34
972	1190	33
973	1191	31
974	1191	30
975	1192	29
976	1193	28
977	1193	26
978	1195	25
979	1196	24
980	1198	23
981	1198	21
982	1199	20
983	1200	19
984	1201	18
985	1202	17
986	1203	15
987	1203	14
988	1204	13
989	1205	12
990	1205	10
991	1206	9
992	1207	8
993	1207	7
994	1208	6
995	1209	4
996	1210	3
997	1212	2
998	1213	1
999	1214	0
